Date,Time,Race,Gender,Body_Size,Age_Range,Basket_Size,Wash_Item,Washer_No,Dryer_No,TimeSpent_minutes,TotalSpent_RM,weather,With_Kids,Kids_Category,Race_fac,Gender_fac,Wash_Item_fac,weather_fac,Body_Size_oe,Basket_Size_oe,Kids_Category_oe,With_Kids_oe
20/10/2015,11:19:20,malay,female,moderate,50,big,clothes,5,10,35,8,Rainy,yes,young,0,1,0,0,1,1,3,1
20/10/2015,11:27:26,indian,male,fat,34,big,clothes,3,10,36,17,Rainy,no,no_kids,1,0,0,0,2,1,0,0
20/10/2015,11:27:57,malay,male,moderate,53,big,clothes,5,9,15,19,Sunny,yes,baby,0,0,0,1,1,1,1,1
20/10/2015,11:28:43,malay,female,fat,38,big,blankets,3,7,16,14,Rainy,yes,young,0,1,1,0,2,1,3,1
20/10/2015,13:36:46,chinese,female,thin,29,small,clothes,3,7,54,10,Sunny,no,no_kids,2,1,0,1,0,0,0,0
20/10/2015,12:10:46,chinese,female,moderate,44,big,clothes,5,7,30,20,Sunny,no,no_kids,2,1,0,1,1,1,0,0
20/10/2015,13:44:03,chinese,female,moderate,42,small,clothes,3,8,22,13,Rainy,no,no_kids,2,1,0,0,1,0,0,0
20/10/2015,13:47:46,chinese,male,thin,41,big,clothes,6,9,50,18,Sunny,no,no_kids,2,0,0,1,0,1,0,0
20/10/2015,14:39:57,malay,male,thin,36,big,blankets,5,9,20,13,Sunny,yes,young,0,0,1,1,0,1,3,1
20/10/2015,14:54:19,indian,male,fat,39,big,clothes,4,10,60,19,Rainy,no,no_kids,1,0,0,0,2,1,0,0
20/10/2015,14:54:19,indian,male,thin,42,big,clothes,6,9,34,12,Sunny,no,no_kids,1,0,0,1,0,1,0,0
20/10/2015,15:26:05,malay,female,fat,32,big,clothes,3,7,58,10,Sunny,no,no_kids,0,1,0,1,2,1,0,0
20/10/2015,15:45:51,chinese,male,thin,40,big,clothes,5,9,54,18,Sunny,yes,toddler,2,0,0,1,0,1,2,1
20/10/2015,15:52:41,foreigner ,male,moderate,39,big,clothes,3,8,43,17,Sunny,no,no_kids,3,0,0,1,1,1,0,0
20/10/2015,16:01:30,malay,female,fat,55,big,clothes,3,7,58,11,Sunny,no,no_kids,0,1,0,1,2,1,0,0
20/10/2015,16:34:06,chinese,male,thin,46,big,clothes,4,7,56,15,Sunny,no,no_kids,2,0,0,1,0,1,0,0
20/10/2015,18:14:37,malay,female,thin,46,small,clothes,6,10,16,20,Rainy,no,no_kids,0,1,0,0,0,0,0,0
20/10/2015,18:34:26,malay,male,fat,35,big,clothes,4,7,41,17,Rainy,no,no_kids,0,0,0,0,2,1,0,0
20/10/2015,18:37:46,chinese,female,thin,35,small,clothes,5,9,31,9,Sunny,no,no_kids,2,1,0,1,0,0,0,0
20/10/2015,18:48:34,malay,female,moderate,41,big,clothes,5,10,38,9,Rainy,no,no_kids,0,1,0,0,1,1,0,0
20/10/2015,18:57:46,malay,female,fat,31,big,clothes,4,9,51,18,Rainy,no,no_kids,0,1,0,0,2,1,0,0
20/10/2015,18:57:46,malay,female,fat,34,big,clothes,5,9,23,18,Rainy,no,no_kids,0,1,0,0,2,1,0,0
20/10/2015,20:09:18,malay,female,fat,36,big,clothes,4,8,37,12,Sunny,no,no_kids,0,1,0,1,2,1,0,0
20/10/2015,20:21:03,malay,female,moderate,33,big,clothes,4,10,15,14,Rainy,no,no_kids,0,1,0,0,1,1,0,0
20/10/2015,20:21:03,malay,female,fat,51,big,clothes,6,9,60,18,Rainy,no,no_kids,0,1,0,0,2,1,0,0
20/10/2015,20:21:03,foreigner ,female,moderate,46,big,blankets,3,7,53,11,Sunny,no,no_kids,3,1,1,1,1,1,0,0
20/10/2015,20:32:37,malay,female,moderate,51,big,clothes,6,8,35,21,Sunny,no,no_kids,0,1,0,1,1,1,0,0
20/10/2015,20:44:46,indian,male,fat,39,big,clothes,5,7,50,14,Sunny,no,no_kids,1,0,0,1,2,1,0,0
20/10/2015,20:48:32,malay,female,fat,28,big,clothes,3,9,39,11,Sunny,no,no_kids,0,1,0,1,2,1,0,0
20/10/2015,21:39:30,indian,male,moderate,49,big,clothes,4,8,31,14,Sunny,no,no_kids,1,0,0,1,1,1,0,0
20/10/2015,21:44:10,indian,male,fat,48,big,clothes,5,10,32,11,Sunny,no,no_kids,1,0,0,1,2,1,0,0
20/10/2015,21:05:59,malay,female,fat,39,big,blankets,5,9,24,16,Sunny,yes,toddler,0,1,1,1,2,1,2,1
20/10/2015,22:04:52,indian,female,fat,42,big,clothes,5,7,55,15,Sunny,no,no_kids,1,1,0,1,2,1,0,0
20/10/2015,22:04:52,foreigner ,male,moderate,54,big,clothes,3,9,20,16,Sunny,no,no_kids,3,0,0,1,1,1,0,0
20/10/2015,22:10:28,foreigner ,male,moderate,38,big,clothes,3,8,40,14,Sunny,no,no_kids,3,0,0,1,1,1,0,0
20/10/2015,22:12:39,chinese,female,thin,39,big,clothes,6,7,15,13,Rainy,no,no_kids,2,1,0,0,0,1,0,0
20/10/2015,22:18:01,malay,female,thin,53,big,clothes,6,8,43,16,Rainy,yes,young,0,1,0,0,0,1,3,1
20/10/2015,22:20:42,malay,male,thin,29,big,clothes,3,10,31,18,Sunny,yes,toddler,0,0,0,1,0,1,2,1
20/10/2015,22:24:54,indian,male,fat,43,big,clothes,6,10,36,11,Sunny,no,no_kids,1,0,0,1,2,1,0,0
20/10/2015,22:24:54,indian,female,fat,29,small,clothes,5,8,56,21,Sunny,yes,young,1,1,0,1,2,0,3,1
20/10/2015,22:37:12,malay,female,thin,50,big,clothes,3,8,44,14,Rainy,yes,toddler,0,1,0,0,0,1,2,1
20/10/2015,22:52:52,malay,female,thin,51,small,clothes,3,9,33,15,Sunny,no,no_kids,0,1,0,1,0,0,0,0
20/10/2015,22:54:56,malay,male,thin,28,big,clothes,4,10,60,16,Sunny,yes,toddler,0,0,0,1,0,1,2,1
20/10/2015,22:59:55,indian,female,moderate,55,big,clothes,3,9,60,14,Sunny,yes,baby,1,1,0,1,1,1,1,1
20/10/2015,23:08:44,indian,male,thin,33,small,clothes,5,10,27,8,Rainy,no,no_kids,1,0,0,0,0,0,0,0
20/10/2015,23:08:44,indian,male,moderate,49,small,clothes,6,10,38,21,Rainy,no,no_kids,1,0,0,0,1,0,0,0
20/10/2015,23:15:42,malay,male,thin,42,big,blankets,4,8,24,19,Sunny,no,no_kids,0,0,1,1,0,1,0,0
20/10/2015,0:04:56,malay,female,moderate,45,big,blankets,3,7,26,16,Sunny,no,no_kids,0,1,1,1,1,1,0,0
21/10/2015,2:17:42,indian,female,thin,30,big,clothes,6,7,13,13,Sunny,no,no_kids,1,1,0,1,0,1,0,0
21/10/2015,7:35:52,indian,female,fat,44,small,clothes,4,8,17,10,Sunny,no,no_kids,1,1,0,1,2,0,0,0
21/10/2015,7:58:48,chinese,female,moderate,54,big,clothes,3,7,53,14,Sunny,no,no_kids,2,1,0,1,1,1,0,0
21/10/2015,11:21:04,chinese,female,thin,43,big,clothes,3,8,11,18,Sunny,no,no_kids,2,1,0,1,0,1,0,0
21/10/2015,11:56:35,malay,male,thin,32,big,clothes,4,8,12,9,Sunny,no,no_kids,0,0,0,1,0,1,0,0
21/10/2015,11:56:35,malay,female,moderate,29,big,clothes,5,8,41,16,Sunny,no,no_kids,0,1,0,1,1,1,0,0
21/10/2015,12:01:57,chinese,male,thin,40,small,clothes,3,9,49,21,Sunny,no,no_kids,2,0,0,1,0,0,0,0
21/10/2015,12:01:57,chinese,female,thin,31,big,clothes,5,8,25,10,Sunny,no,no_kids,2,1,0,1,0,1,0,0
21/10/2015,12:32:17,malay,female,thin,31,big,clothes,5,10,27,7,Sunny,no,no_kids,0,1,0,1,0,1,0,0
21/10/2015,12:44:01,chinese,male,thin,54,small,clothes,3,8,15,11,Sunny,no,no_kids,2,0,0,1,0,0,0,0
21/10/2015,13:04:37,malay,female,thin,39,big,clothes,6,10,60,21,Rainy,no,no_kids,0,1,0,0,0,1,0,0
21/10/2015,13:04:37,malay,male,moderate,39,small,clothes,5,7,54,21,Sunny,no,no_kids,0,0,0,1,1,0,0,0
21/10/2015,14:18:47,chinese,female,fat,45,big,clothes,3,10,50,7,Sunny,no,no_kids,2,1,0,1,2,1,0,0
21/10/2015,14:30:07,malay,female,moderate,38,big,clothes,3,7,12,7,Rainy,yes,toddler,0,1,0,0,1,1,2,1
21/10/2015,14:32:50,malay,female,moderate,48,big,clothes,5,9,35,13,Sunny,yes,young,0,1,0,1,1,1,3,1
21/10/2015,14:51:37,chinese,female,thin,39,big,clothes,3,9,45,19,Sunny,no,no_kids,2,1,0,1,0,1,0,0
21/10/2015,15:05:32,malay,female,moderate,42,big,blankets,4,8,48,12,Rainy,yes,toddler,0,1,1,0,1,1,2,1
21/10/2015,16:53:36,malay,female,moderate,53,small,clothes,4,9,14,12,Sunny,no,no_kids,0,1,0,1,1,0,0,0
21/10/2015,19:35:17,malay,female,fat,40,big,clothes,6,8,15,17,Rainy,no,no_kids,0,1,0,0,2,1,0,0
21/10/2015,19:35:17,malay,female,moderate,53,big,clothes,4,7,26,16,Sunny,no,no_kids,0,1,0,1,1,1,0,0
21/10/2015,19:35:17,indian,male,fat,49,big,clothes,3,7,48,7,Sunny,no,no_kids,1,0,0,1,2,1,0,0
21/10/2015,21:13:41,malay,male,thin,52,big,clothes,6,10,55,13,Sunny,no,no_kids,0,0,0,1,0,1,0,0
21/10/2015,21:13:41,malay,male,thin,32,big,clothes,6,8,43,18,Sunny,no,no_kids,0,0,0,1,0,1,0,0
21/10/2015,21:13:41,chinese,male,moderate,34,big,clothes,5,9,50,13,Sunny,no,no_kids,2,0,0,1,1,1,0,0
21/10/2015,21:13:41,indian,male,thin,35,big,clothes,3,7,46,14,Rainy,no,no_kids,1,0,0,0,0,1,0,0
22/10/2015,7:31:47,malay,female,moderate,49,big,clothes,4,8,46,14,Sunny,no,no_kids,0,1,0,1,1,1,0,0
22/10/2015,9:19:35,malay,female,fat,33,big,clothes,5,7,55,21,Rainy,no,no_kids,0,1,0,0,2,1,0,0
22/10/2015,9:19:35,malay,female,moderate,55,big,clothes,4,8,58,9,Rainy,no,no_kids,0,1,0,0,1,1,0,0
22/10/2015,9:48:38,chinese,female,moderate,39,big,blankets,4,7,36,14,Rainy,no,no_kids,2,1,1,0,1,1,0,0
22/10/2015,10:08:57,malay,male,moderate,55,big,clothes,3,8,37,21,Sunny,no,no_kids,0,0,0,1,1,1,0,0
22/10/2015,10:50:38,malay,female,thin,49,big,clothes,5,9,55,19,Sunny,no,no_kids,0,1,0,1,0,1,0,0
22/10/2015,10:50:38,malay,male,thin,46,big,clothes,3,8,21,15,Sunny,no,no_kids,0,0,0,1,0,1,0,0
22/10/2015,13:14:43,foreigner ,female,moderate,41,big,clothes,5,10,56,16,Sunny,no,no_kids,3,1,0,1,1,1,0,0
22/10/2015,13:17:51,malay,female,fat,39,big,clothes,3,7,36,17,Sunny,no,no_kids,0,1,0,1,2,1,0,0
22/10/2015,13:17:51,malay,male,fat,41,big,clothes,3,10,29,15,Sunny,no,no_kids,0,0,0,1,2,1,0,0
22/10/2015,14:38:23,malay,male,moderate,55,small,clothes,4,8,37,10,Sunny,no,no_kids,0,0,0,1,1,0,0,0
22/10/2015,15:10:04,malay,female,moderate,34,small,clothes,4,7,20,15,Sunny,no,no_kids,0,1,0,1,1,0,0,0
22/10/2015,15:42:25,malay,female,fat,40,big,clothes,6,10,30,7,Rainy,no,no_kids,0,1,0,0,2,1,0,0
22/10/2015,18:42:40,indian,male,fat,44,big,clothes,5,7,25,14,Rainy,no,no_kids,1,0,0,0,2,1,0,0
22/10/2015,19:48:07,chinese,male,thin,50,big,clothes,3,10,19,13,Sunny,yes,baby,2,0,0,1,0,1,1,1
22/10/2015,20:23:30,foreigner ,male,moderate,54,big,clothes,3,7,23,16,Sunny,no,no_kids,3,0,0,1,1,1,0,0
22/10/2015,20:49:14,chinese,male,thin,39,big,clothes,5,8,46,9,Rainy,no,no_kids,2,0,0,0,0,1,0,0
22/10/2015,22:10:13,malay,male,moderate,32,big,clothes,3,9,50,9,Rainy,no,no_kids,0,0,0,0,1,1,0,0
22/10/2015,22:52:01,malay,female,thin,32,big,clothes,3,9,59,7,Rainy,no,no_kids,0,1,0,0,0,1,0,0
22/10/2015,23:18:33,indian,male,fat,47,big,clothes,6,7,15,17,Rainy,no,no_kids,1,0,0,0,2,1,0,0
23/10/2015,1:09:08,chinese,female,fat,30,big,clothes,6,10,22,20,Sunny,yes,toddler,2,1,0,1,2,1,2,1
23/10/2015,1:31:55,chinese,male,fat,39,big,clothes,3,8,50,14,Sunny,no,no_kids,2,0,0,1,2,1,0,0
23/10/2015,1:52:36,indian,female,fat,39,big,clothes,3,10,60,8,Sunny,no,no_kids,1,1,0,1,2,1,0,0
23/10/2015,2:48:52,malay,male,fat,40,big,clothes,5,7,22,14,Rainy,no,no_kids,0,0,0,0,2,1,0,0
23/10/2015,4:35:37,indian,male,moderate,39,big,clothes,5,8,52,18,Rainy,no,no_kids,1,0,0,0,1,1,0,0
23/10/2015,7:07:53,malay,female,fat,52,big,clothes,5,7,15,19,Sunny,yes,baby,0,1,0,1,2,1,1,1
23/10/2015,7:31:00,malay,male,fat,33,big,clothes,3,7,29,14,Sunny,no,no_kids,0,0,0,1,2,1,0,0
23/10/2015,10:27:02,chinese,male,thin,39,big,clothes,5,9,44,15,Sunny,no,no_kids,2,0,0,1,0,1,0,0
23/10/2015,11:14:22,malay,male,fat,53,big,clothes,3,9,58,13,Sunny,yes,baby,0,0,0,1,2,1,1,1
23/10/2015,11:17:03,malay,female,moderate,53,big,clothes,4,7,23,7,Sunny,yes,toddler,0,1,0,1,1,1,2,1
23/10/2015,11:54:36,indian,male,moderate,40,small,clothes,3,9,58,21,Sunny,no,no_kids,1,0,0,1,1,0,0,0
23/10/2015,11:59:37,malay,male,moderate,40,big,clothes,4,10,53,8,Sunny,no,no_kids,0,0,0,1,1,1,0,0
23/10/2015,12:00:06,malay,female,fat,52,big,clothes,6,10,48,13,Sunny,no,no_kids,0,1,0,1,2,1,0,0
23/10/2015,12:00:06,indian,male,fat,44,big,clothes,4,10,19,14,Sunny,no,no_kids,1,0,0,1,2,1,0,0
23/10/2015,12:00:06,malay,male,fat,39,big,clothes,3,8,40,12,Rainy,no,no_kids,0,0,0,0,2,1,0,0
23/10/2015,12:01:53,malay,male,thin,44,big,clothes,4,8,34,18,Rainy,no,no_kids,0,0,0,0,0,1,0,0
23/10/2015,12:23:32,malay,female,thin,52,big,clothes,5,8,23,16,Sunny,no,no_kids,0,1,0,1,0,1,0,0
23/10/2015,12:57:44,malay,female,fat,39,big,clothes,6,8,13,14,Sunny,no,no_kids,0,1,0,1,2,1,0,0
23/10/2015,15:17:25,malay,female,thin,31,big,clothes,3,7,29,14,Rainy,no,no_kids,0,1,0,0,0,1,0,0
23/10/2015,16:06:01,malay,male,thin,31,big,clothes,6,9,54,14,Sunny,no,no_kids,0,0,0,1,0,1,0,0
23/10/2015,16:06:01,malay,female,fat,40,big,clothes,4,9,36,14,Rainy,no,no_kids,0,1,0,0,2,1,0,0
23/10/2015,16:11:32,malay,female,thin,28,big,blankets,4,9,16,21,Sunny,yes,baby,0,1,1,1,0,1,1,1
23/10/2015,16:33:34,malay,female,moderate,41,big,clothes,4,7,11,9,Sunny,no,no_kids,0,1,0,1,1,1,0,0
23/10/2015,17:31:48,malay,female,moderate,41,big,clothes,6,10,28,14,Sunny,yes,toddler,0,1,0,1,1,1,2,1
23/10/2015,17:31:48,malay,female,fat,49,big,clothes,5,9,41,20,Rainy,no,no_kids,0,1,0,0,2,1,0,0
23/10/2015,19:47:39,chinese,female,thin,30,big,clothes,6,7,25,15,Sunny,no,no_kids,2,1,0,1,0,1,0,0
23/10/2015,19:55:14,chinese,male,moderate,48,big,clothes,3,9,19,13,Rainy,no,no_kids,2,0,0,0,1,1,0,0
23/10/2015,20:08:58,chinese,female,moderate,34,big,clothes,5,7,15,11,Sunny,no,no_kids,2,1,0,1,1,1,0,0
23/10/2015,20:39:42,foreigner ,male,thin,39,big,clothes,6,9,36,12,Sunny,no,no_kids,3,0,0,1,0,1,0,0
23/10/2015,21:18:54,foreigner ,female,thin,39,big,clothes,3,9,11,20,Sunny,yes,young,3,1,0,1,0,1,3,1
23/10/2015,21:51:00,malay,female,moderate,39,big,clothes,4,7,54,18,Rainy,yes,toddler,0,1,0,0,1,1,2,1
23/10/2015,22:31:34,indian,female,fat,40,big,clothes,4,10,53,18,Rainy,yes,young,1,1,0,0,2,1,3,1
23/10/2015,22:58:27,chinese,female,thin,42,big,clothes,5,9,19,17,Rainy,no,no_kids,2,1,0,0,0,1,0,0
23/10/2015,23:38:01,malay,female,fat,39,big,clothes,3,7,43,14,Sunny,no,no_kids,0,1,0,1,2,1,0,0
24/10/2015,0:18:48,chinese,male,fat,36,big,clothes,3,9,58,19,Rainy,no,no_kids,2,0,0,0,2,1,0,0
24/10/2015,0:38:01,malay,female,thin,28,big,clothes,3,9,17,21,Sunny,yes,baby,0,1,0,1,0,1,1,1
24/10/2015,1:31:38,malay,male,fat,53,big,clothes,3,7,26,8,Sunny,no,no_kids,0,0,0,1,2,1,0,0
24/10/2015,6:44:22,malay,male,thin,42,big,clothes,4,7,22,8,Sunny,no,no_kids,0,0,0,1,0,1,0,0
24/10/2015,6:56:49,chinese,female,moderate,39,big,clothes,6,9,28,15,Sunny,no,no_kids,2,1,0,1,1,1,0,0
24/10/2015,8:51:44,malay,male,fat,40,big,clothes,4,10,51,14,Sunny,no,no_kids,0,0,0,1,2,1,0,0
24/10/2015,9:07:33,indian,female,thin,41,big,clothes,6,9,48,11,Rainy,no,no_kids,1,1,0,0,0,1,0,0
24/10/2015,9:22:05,malay,female,moderate,50,big,blankets,3,7,36,13,Rainy,no,no_kids,0,1,1,0,1,1,0,0
24/10/2015,9:23:10,malay,female,moderate,48,big,clothes,6,9,57,10,Sunny,no,no_kids,0,1,0,1,1,1,0,0
24/10/2015,9:23:10,malay,female,thin,42,big,clothes,6,8,19,20,Sunny,no,no_kids,0,1,0,1,0,1,0,0
24/10/2015,9:24:29,malay,male,moderate,51,small,clothes,6,10,45,11,Sunny,no,no_kids,0,0,0,1,1,0,0,0
24/10/2015,10:30:48,chinese,female,thin,54,big,clothes,6,9,11,7,Sunny,no,no_kids,2,1,0,1,0,1,0,0
24/10/2015,10:30:48,malay,male,thin,50,big,clothes,4,10,21,13,Rainy,yes,toddler,0,0,0,0,0,1,2,1
24/10/2015,10:47:32,malay,female,fat,44,big,clothes,5,8,39,19,Sunny,no,no_kids,0,1,0,1,2,1,0,0
24/10/2015,10:59:09,malay,female,fat,39,big,clothes,4,9,36,12,Rainy,no,no_kids,0,1,0,0,2,1,0,0
24/10/2015,11:12:18,malay,female,moderate,45,big,clothes,4,7,36,19,Rainy,yes,young,0,1,0,0,1,1,3,1
24/10/2015,11:32:11,malay,male,fat,41,big,clothes,6,10,59,15,Rainy,yes,young,0,0,0,0,2,1,3,1
24/10/2015,11:34:26,indian,female,moderate,37,big,clothes,6,7,36,18,Rainy,no,no_kids,1,1,0,0,1,1,0,0
24/10/2015,12:00:51,indian,female,moderate,35,big,clothes,3,7,36,7,Sunny,no,no_kids,1,1,0,1,1,1,0,0
24/10/2015,12:14:54,chinese,male,thin,53,big,blankets,6,7,17,10,Sunny,yes,baby,2,0,1,1,0,1,1,1
24/10/2015,12:37:44,chinese,male,moderate,53,small,clothes,6,10,29,10,Sunny,no,no_kids,2,0,0,1,1,0,0,0
24/10/2015,13:05:01,chinese,male,moderate,51,big,clothes,6,7,38,14,Sunny,no,no_kids,2,0,0,1,1,1,0,0
24/10/2015,13:30:48,malay,female,moderate,32,big,clothes,4,8,48,13,Rainy,no,no_kids,0,1,0,0,1,1,0,0
24/10/2015,13:37:15,malay,female,thin,52,big,clothes,5,9,58,12,Rainy,no,no_kids,0,1,0,0,0,1,0,0
24/10/2015,13:37:15,malay,female,thin,50,big,clothes,4,8,11,13,Sunny,no,no_kids,0,1,0,1,0,1,0,0
24/10/2015,14:07:01,malay,male,moderate,31,big,clothes,4,10,56,17,Rainy,no,no_kids,0,0,0,0,1,1,0,0
24/10/2015,14:28:38,indian,female,moderate,54,small,clothes,5,10,11,17,Rainy,no,no_kids,1,1,0,0,1,0,0,0
24/10/2015,14:39:02,foreigner ,male,thin,47,big,clothes,6,7,22,14,Sunny,no,no_kids,3,0,0,1,0,1,0,0
24/10/2015,14:51:31,chinese,female,moderate,39,big,clothes,3,9,37,18,Sunny,no,no_kids,2,1,0,1,1,1,0,0
24/10/2015,14:55:41,indian,female,thin,50,big,clothes,4,8,19,17,Sunny,no,no_kids,1,1,0,1,0,1,0,0
24/10/2015,15:01:59,indian,male,moderate,34,big,blankets,4,7,56,10,Rainy,no,no_kids,1,0,1,0,1,1,0,0
24/10/2015,15:20:20,malay,female,thin,47,big,blankets,6,8,42,7,Sunny,no,no_kids,0,1,1,1,0,1,0,0
24/10/2015,15:30:07,malay,female,fat,40,big,clothes,5,10,20,13,Sunny,no,no_kids,0,1,0,1,2,1,0,0
24/10/2015,15:30:07,chinese,female,thin,51,big,clothes,3,8,14,7,Rainy,no,no_kids,2,1,0,0,0,1,0,0
24/10/2015,15:30:07,chinese,male,moderate,37,big,clothes,4,7,16,20,Rainy,no,no_kids,2,0,0,0,1,1,0,0
24/10/2015,17:07:48,malay,female,moderate,40,big,clothes,5,10,37,10,Sunny,no,no_kids,0,1,0,1,1,1,0,0
24/10/2015,17:07:48,malay,female,thin,54,big,clothes,5,7,38,14,Sunny,yes,young,0,1,0,1,0,1,3,1
24/10/2015,17:32:53,indian,female,moderate,39,big,clothes,6,10,58,15,Sunny,no,no_kids,1,1,0,1,1,1,0,0
24/10/2015,18:56:36,indian,female,moderate,49,big,clothes,3,7,18,10,Sunny,no,no_kids,1,1,0,1,1,1,0,0
24/10/2015,19:02:34,indian,female,thin,39,big,blankets,5,10,24,20,Sunny,no,no_kids,1,1,1,1,0,1,0,0
24/10/2015,19:39:23,malay,male,thin,41,big,clothes,3,7,53,7,Rainy,no,no_kids,0,0,0,0,0,1,0,0
24/10/2015,19:39:23,chinese,female,moderate,40,big,clothes,4,10,34,8,Sunny,no,no_kids,2,1,0,1,1,1,0,0
24/10/2015,20:03:39,malay,male,thin,41,big,blankets,4,9,16,15,Sunny,no,no_kids,0,0,1,1,0,1,0,0
24/10/2015,20:07:19,chinese,female,thin,51,big,clothes,4,8,35,20,Rainy,no,no_kids,2,1,0,0,0,1,0,0
24/10/2015,20:59:01,malay,female,fat,29,big,clothes,3,8,45,9,Sunny,no,no_kids,0,1,0,1,2,1,0,0
24/10/2015,20:59:01,malay,female,fat,45,big,clothes,5,7,42,8,Rainy,no,no_kids,0,1,0,0,2,1,0,0
24/10/2015,20:59:01,malay,female,fat,54,big,clothes,3,7,50,14,Rainy,no,no_kids,0,1,0,0,2,1,0,0
24/10/2015,21:06:04,indian,male,moderate,45,big,clothes,6,9,55,14,Sunny,no,no_kids,1,0,0,1,1,1,0,0
24/10/2015,21:12:32,malay,female,fat,39,big,clothes,6,9,29,14,Sunny,no,no_kids,0,1,0,1,2,1,0,0
24/10/2015,21:12:32,malay,female,thin,53,big,clothes,5,8,19,15,Sunny,no,no_kids,0,1,0,1,0,1,0,0
24/10/2015,21:45:54,malay,female,thin,37,big,clothes,4,8,53,21,Sunny,no,no_kids,0,1,0,1,0,1,0,0
24/10/2015,21:45:54,malay,male,fat,50,big,clothes,3,7,53,21,Rainy,no,no_kids,0,0,0,0,2,1,0,0
24/10/2015,23:32:46,chinese,female,thin,34,big,clothes,6,8,24,17,Rainy,no,no_kids,2,1,0,0,0,1,0,0
24/10/2015,23:40:46,indian,male,thin,46,big,clothes,4,10,52,14,Rainy,no,no_kids,1,0,0,0,0,1,0,0
24/10/2015,23:47:35,malay,male,thin,33,big,clothes,3,8,59,21,Rainy,no,no_kids,0,0,0,0,0,1,0,0
25/10/2015,0:08:09,malay,male,fat,42,big,blankets,4,7,39,7,Sunny,no,no_kids,0,0,1,1,2,1,0,0
25/10/2015,0:11:08,malay,male,fat,50,big,clothes,6,10,15,20,Sunny,no,no_kids,0,0,0,1,2,1,0,0
25/10/2015,1:29:47,chinese,female,fat,54,big,clothes,3,7,29,8,Sunny,no,no_kids,2,1,0,1,2,1,0,0
25/10/2015,8:15:00,chinese,male,thin,38,big,clothes,4,10,24,14,Sunny,no,no_kids,2,0,0,1,0,1,0,0
25/10/2015,8:15:00,chinese,female,thin,30,big,clothes,3,10,36,15,Rainy,no,no_kids,2,1,0,0,0,1,0,0
25/10/2015,8:17:23,malay,male,fat,54,big,clothes,4,8,16,21,Sunny,no,no_kids,0,0,0,1,2,1,0,0
26/10/2015,8:40:01,malay,female,moderate,47,big,clothes,6,10,13,16,Rainy,no,no_kids,0,1,0,0,1,1,0,0
